TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,371.4782,no,unknown,unknown,unknown,Unknown,-10.6439,0.3548,-12.3741,0.0088,0.0031,0.4777,0.0118,0.0023,0.2290,0.0981,6.4028,0.2930,9.1920,0.2955,0.0323,0.0003,5.1678,0.2144,0.0003,0.0135,0.0357,0.0210,0.0026,3.6154,0.1259,0.0000,98.6991,0.2269,0.0050,0.4462,0.0119,0.0068,0.3803,0.0097,0.0020,0.0013,0.0018,0.0018,0.0023,0.0000,0.0019,2.2979,2.2979,0.0018,0.0285,
0.0400,0,371.0744,no,unknown,unknown,unknown,Unknown,-10.3642,-0.8447,-1.4195,0.0020,0.0047,0.5407,0.0227,0.0042,0.2045,0.1873,-1.2730,0.1034,0.5545,0.4755,0.0240,0.0033,2.6572,0.0144,0.0032,0.0163,0.0336,0.0204,1.1211,0.9864,0.1254,0.0000,98.5671,0.4469,0.0036,0.9582,0.0113,0.0055,0.1803,0.0059,0.0018,0.0015,0.0018,0.0018,0.0042,0.0000,0.0019,2.2979,2.2979,0.0018,0.0284,
0.0800,0,377.0056,no,unknown,unknown,unknown,Unknown,-12.9752,0.2679,-2.6565,0.0019,0.0047,0.4439,0.0235,0.0044,0.1991,0.1939,-1.6572,0.1053,0.0323,0.4828,0.0164,0.0070,1.5767,0.0078,0.0151,0.0112,0.0819,0.0075,2.4491,0.3987,0.0819,0.0000,98.7212,0.2328,0.0016,1.3047,0.0090,0.0025,0.1134,0.0045,0.0017,0.0016,0.0018,0.0018,0.0044,0.0000,0.0019,2.2979,2.2979,0.0018,0.0283,
0.1200,0,375.4933,no,unknown,unknown,unknown,Unknown,-12.4596,-0.0951,-3.2279,0.0018,0.0047,0.4669,0.0243,0.0044,0.1980,0.1947,-1.3469,0.0970,0.0124,0.6016,0.0165,0.0146,1.4610,0.0064,0.0103,0.0104,0.1083,0.0159,1.4230,0.2094,0.1057,0.0000,98.7642,0.1765,0.0030,1.9845,0.0115,0.0040,0.1073,0.0039,0.0017,0.0016,0.0019,0.0018,0.0044,0.0000,0.0019,2.2980,2.2980,0.0018,0.0283,
0.1600,0,374.8326,no,unknown,unknown,unknown,Unknown,-9.7390,0.1847,-2.3362,0.0018,0.0046,0.4853,0.0236,0.0043,0.1975,0.1948,-1.8411,0.1074,0.0353,0.4436,0.0203,0.0118,2.1579,0.0033,0.0110,0.0095,0.0592,0.0242,2.1454,0.2497,0.1262,0.0000,98.7421,0.1615,0.0055,1.8998,0.0225,0.0059,0.0794,0.0034,0.0017,0.0015,0.0019,0.0018,0.0043,0.0000,0.0019,2.2980,2.2980,0.0018,0.0282,
0.2000,0,374.4885,no,unknown,unknown,unknown,Unknown,-8.3043,0.3007,-2.6253,0.0019,0.0047,0.5829,0.0235,0.0042,0.2000,0.1948,-2.0541,0.1110,0.1897,0.4581,0.0266,0.0047,3.3123,0.0034,0.0072,0.0122,0.0310,0.0295,1.4506,0.5062,0.2377,0.0000,98.7129,0.2146,0.0142,1.5778,0.0264,0.0105,0.1539,0.0032,0.0017,0.0013,0.0018,0.0018,0.0042,0.0000,0.0019,2.2980,2.2980,0.0018,0.0282,
0.2400,0,377.3580,no,unknown,unknown,unknown,Unknown,-8.8812,0.1163,-2.0468,0.0020,0.0046,0.6763,0.0231,0.0041,0.2022,0.1907,-1.9148,0.1123,0.5129,0.4645,0.0326,0.0040,4.2023,0.0029,0.0024,0.0128,0.0200,0.0248,0.5972,0.7319,0.2661,0.0000,98.7590,0.2731,0.0188,1.5011,0.0269,0.0105,0.1792,0.0030,0.0016,0.0012,0.0018,0.0018,0.0041,0.0000,0.0020,2.2980,2.2980,0.0018,0.0282,
0.2800,0,372.4097,no,unknown,unknown,unknown,Unknown,-8.2747,0.7996,-1.8416,0.0023,0.0045,0.9612,0.0218,0.0037,0.2074,0.1818,-2.6268,0.1446,1.2536,0.5400,0.0345,0.0028,7.2297,0.0028,0.0019,0.0132,0.0125,0.0201,0.3486,1.2487,0.3382,0.0000,98.5798,0.3269,0.0363,1.4317,0.0198,0.0100,0.2674,0.0029,0.0016,0.0011,0.0018,0.0018,0.0037,0.0000,0.0020,2.2979,2.2979,0.0018,0.0283,
0.3200,0,375.6534,no,unknown,unknown,unknown,Unknown,-9.2456,0.2642,-1.1533,0.0025,0.0044,1.9269,0.0210,0.0033,0.2084,0.1740,-5.0468,0.2220,1.7938,0.5663,0.0368,0.0030,13.1505,0.0029,0.0018,0.0116,0.0085,0.0307,0.3146,1.3344,0.3020,0.0000,98.7222,0.2847,0.0381,1.5130,0.0139,0.0093,0.2157,0.0029,0.0015,0.0010,0.0018,0.0018,0.0033,0.0000,0.0020,2.2979,2.2979,0.0018,0.0283,
0.3600,0,375.1552,no,unknown,unknown,unknown,Unknown,-9.4510,1.2523,-1.8075,0.0027,0.0043,2.9817,0.0207,0.0030,0.2071,0.1698,-6.6382,0.2882,2.1500,0.6095,0.0340,0.0032,16.9877,0.0029,0.0019,0.0149,0.0104,0.0325,0.3706,1.1650,0.3274,0.0000,98.4473,0.2685,0.0440,1.6467,0.0113,0.0085,0.1722,0.0029,0.0014,0.0011,0.0018,0.0018,0.0030,0.0000,0.0020,2.2979,2.2979,0.0018,0.0283,
